PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,SAMPLE_TYPE,TAXA_ID,TARGET_TAXON,ALGAL_GROUP,ABUNDANCE,BIOVOLUME,DENSITY,IS_DISTINCT
1/10/2025,2021502,NLA_MT-10276,NLA22_MT-10024,8/16/2022,1,MT,PHYX,3993,COCCONEIS PEDICULUS,DIATOM,1,2257.2,1,1
1/10/2025,2021543,NLA_ND-10179,NLA22_ND-10057,8/21/2022,1,ND,PHYX,3993,COCCONEIS PEDICULUS,DIATOM,1,3861.27,5,1
1/10/2025,2020701,NLA_IN-10305,NLA22_IN-10159,6/30/2022,1,IN,PHYX,3995,COCCONEIS,DIATOM,14,7037.47,15,1
1/10/2025,2020848,NLA_IL-10057,NLA22_IL-10007,7/15/2022,1,IL,PHYX,3995,COCCONEIS,DIATOM,276,1266460.5,1828,1
1/10/2025,2021483,NLA_MT-10263,NLA22_MT-10110,8/14/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,1,802.77,2,1
1/10/2025,2020343,NLA_VA-10056,NLA22_VA-10002,6/8/2022,1,VA,PHYX,3995,COCCONEIS,DIATOM,4,38675.55,56,1
1/10/2025,2021404,NLA_MT-10226,NLA22_MT-10073,8/9/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,2,2038.78,15,1
1/10/2025,2020351,NLA_CA-10337,NLA22_CA-10178,6/8/2022,1,CA,PHYX,3995,COCCONEIS,DIATOM,2,4858.55,3,1
1/10/2025,2020840,NLA_AL-10065,NLA22_AL-10011,7/14/2022,1,AL,PHYX,3995,COCCONEIS,DIATOM,1,27333.03,39,1
1/10/2025,2021553,NLA_OH-10089,NLA22_OH-10008,8/23/2022,1,OH,PHYX,3995,COCCONEIS,DIATOM,2,26422.54,31,1
1/10/2025,2021580,NLA_WA-10169,NLA22_WA-10058,8/24/2022,1,WA,PHYX,3995,COCCONEIS,DIATOM,7,8431,16,1
1/10/2025,2021113,NLA_IN-10187,NLA22_IN-10050,8/1/2022,1,IN,PHYX,3995,COCCONEIS,DIATOM,1,427.64,3,1
1/10/2025,2020597,NLA_NV-10178,NLA22_NV-10025,6/23/2022,2,NV,PHYX,3995,COCCONEIS,DIATOM,4,1138.28,4,1
1/10/2025,2021104,NLA_NM-10095,NLA22_NM-10016,8/1/2022,1,NM,PHYX,3995,COCCONEIS,DIATOM,5,1558.85,2,1
1/10/2025,2021557,NLA_OK-10136,NLA22_OK-10007,8/22/2022,1,OK,PHYX,3995,COCCONEIS,DIATOM,2,16988.73,48,1
1/10/2025,2020779,NLA_WA-10161,NLA22_WA-10024,7/12/2022,1,WA,PHYX,3995,COCCONEIS,DIATOM,21,46744.53,69,1
1/10/2025,2020664,NLA_MT-10311,NLA22_MT-10133,6/29/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,16,108291.55,156,1
1/10/2025,2021628,NLA_TX-10387,NLA22_TX-10169,8/30/2022,1,TX,PHYX,3995,COCCONEIS,DIATOM,1,167.71,2,1
1/10/2025,2021829,NLA_MA-10008,NES22-10004,9/23/2022,1,MA,PHYX,3995,COCCONEIS,DIATOM,2,825.21,4,1
1/10/2025,2020794,NLA_SD-10214,NLA22_SD-10049,7/12/2022,1,SD,PHYX,3995,COCCONEIS,DIATOM,4,4795.2,9,1
1/10/2025,2020315,NLA_CA-10234,NLA22_CA-10037,6/6/2022,1,CA,PHYX,3995,COCCONEIS,DIATOM,6,21135.08,11,1
1/10/2025,2020525,NLA_SD-10265,NLA22_SD-10029,6/21/2022,1,SD,PHYX,3995,COCCONEIS,DIATOM,1,5708.59,35,1
1/10/2025,2021803,NLA_MN-10371,NLA22_MN-10084,9/20/2022,1,MN,PHYX,3995,COCCONEIS,DIATOM,2,8201.7,4,1
1/10/2025,2020566,NLA_MO-10103,NLA22_MO-10034,6/22/2022,1,MO,PHYX,3995,COCCONEIS,DIATOM,1,23155.58,46,1
1/10/2025,2020750,NLA_IN-10155,NLA22_IN-10006,7/8/2022,2,IN,PHYX,3995,COCCONEIS,DIATOM,1,629.91,1,1
1/10/2025,2021393,NLA_MT-10282,NLA22_MT-10030,8/7/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,4,10987.94,17,1
1/10/2025,2021542,NLA_IL-10070,NLA22_IL-10019,8/19/2022,1,IL,PHYX,3995,COCCONEIS,DIATOM,1,11661.81,10,1
1/10/2025,2020446,NLA_GA-10057,NLA22_GA-10009,6/15/2022,1,GA,PHYX,3995,COCCONEIS,DIATOM,4,14248.89,21,1
1/10/2025,2021071,NLA_MT-10219,NLA22_MT-10066,7/27/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,1,2608.85,5,1
1/10/2025,2020751,NLA_ND-10028,NES22-10162,7/10/2022,1,ND,PHYX,3995,COCCONEIS,DIATOM,9,82203.52,156,1
1/10/2025,2020556,NLA_NE-10024,NES22-10139,6/22/2022,1,NE,PHYX,3995,COCCONEIS,DIATOM,1,1899.66,12,1
1/10/2025,2020791,NLA_NE-10237,NLA22_NE-10073,7/12/2022,1,NE,PHYX,3995,COCCONEIS,DIATOM,1,20387.72,87,1
1/10/2025,2020256,NLA_AZ-10015,NES22-10198,5/20/2022,1,AZ,PHYX,3995,COCCONEIS,DIATOM,2,4185.19,7,1
1/10/2025,2020469,NLA_GA-10051,NLA22_GA-10003,6/16/2022,1,GA,PHYX,3995,COCCONEIS,DIATOM,4,11900.17,17,1
1/10/2025,2021174,NLA_IN-10198,NLA22_IN-10061,8/3/2022,1,IN,PHYX,3995,COCCONEIS,DIATOM,1,56304.92,92,1
1/10/2025,2020728,NLA_ID-10314,NLA22_ID-10015,7/6/2022,1,ID,PHYX,3995,COCCONEIS,DIATOM,20,58854.1,85,1
1/10/2025,2021804,NLA_SD-10366,NLA22_SD-10180,9/20/2022,1,SD,PHYX,3995,COCCONEIS,DIATOM,1,7400.03,13,1
1/10/2025,2021127,NLA_MT-10333,NLA22_MT-10155,8/2/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,3,1032.38,3,1
1/10/2025,2021764,NLA_MN-10390,NLA22_MN-10103,9/15/2022,1,MN,PHYX,3995,COCCONEIS,DIATOM,2,2038.25,4,1
1/10/2025,2020316,NLA_CA-10285,NLA22_CA-10126,6/6/2022,1,CA,PHYX,3995,COCCONEIS,DIATOM,1,5038.58,2,1
1/10/2025,2020983,NLA_CO-10113,NLA22_CO-10015,7/24/2022,1,CO,PHYX,3995,COCCONEIS,DIATOM,50,12669.65,40,1
1/10/2025,2020572,NLA_OR-10303,NLA22_OR-10176,6/23/2022,1,OR,PHYX,3995,COCCONEIS,DIATOM,4,623.05,8,1
1/10/2025,2021729,NLA_UT-10358,NLA22_UT-10027,9/13/2022,1,UT,PHYX,3995,COCCONEIS,DIATOM,1,615.58,2,1
1/10/2025,2021572,NLA_MN-10350,NLA22_MN-10043,8/24/2022,1,MN,PHYX,3995,COCCONEIS,DIATOM,4,44931.1,43,1
1/10/2025,2020340,NLA_CA-10288,NLA22_CA-10129,6/8/2022,1,CA,PHYX,3995,COCCONEIS,DIATOM,1,9015.17,3,1
1/10/2025,2021024,NLA_MN-10143,NLA22_MN-10002,7/26/2022,1,MN,PHYX,3995,COCCONEIS,DIATOM,2,80028.75,35,1
1/10/2025,2020327,NLA_TX-10237,NLA22_TX-10023,6/7/2022,1,TX,PHYX,3995,COCCONEIS,DIATOM,2,41379.64,41,1
1/10/2025,2021571,NLA_SD-10189,NLA22_SD-10004,8/23/2022,1,SD,PHYX,3995,COCCONEIS,DIATOM,8,22112.35,35,1
1/10/2025,2020909,NLA_OR-10175,NLA22_OR-10060,7/19/2022,1,OR,PHYX,3995,COCCONEIS,DIATOM,6,15985.7,4,1
1/10/2025,2021543,NLA_ND-10179,NLA22_ND-10057,8/21/2022,1,ND,PHYX,3995,COCCONEIS,DIATOM,1,3642.7,5,0
1/10/2025,2021390,NLA_OK-10184,NLA22_OK-10073,8/8/2022,1,OK,PHYX,3995,COCCONEIS,DIATOM,1,1073.87,3,1
1/10/2025,2020509,NLA_NE-10086,NES22-10144,6/21/2022,1,NE,PHYX,3995,COCCONEIS,DIATOM,3,1778.92,11,1
1/10/2025,2020421,NLA_LA-10353,NLA22_LA-10224,6/14/2022,1,LA,PHYX,3995,COCCONEIS,DIATOM,1,10829.15,16,1
1/10/2025,2020463,NLA_AR-10065,NLA22_AR-10034,6/16/2022,1,AR,PHYX,3995,COCCONEIS,DIATOM,2,13309.13,35,1
1/10/2025,2021458,NLA_ND-10276,NLA22_ND-10132,8/11/2022,1,ND,PHYX,3995,COCCONEIS,DIATOM,19,171328.24,176,1
1/10/2025,2020799,NLA_CA-10215,NLA22_CA-10082,7/13/2022,1,CA,PHYX,3995,COCCONEIS,DIATOM,6,14902.51,22,1
1/10/2025,2020966,NLA_WA-10170,NLA22_WA-10059,7/20/2022,1,WA,PHYX,3995,COCCONEIS,DIATOM,3,42721.07,8,1
1/10/2025,2021847,NLA_SD-10368,NLA22_SD-10182,9/29/2022,1,SD,PHYX,3995,COCCONEIS,DIATOM,1,2754.61,7,1
1/10/2025,2020603,NLA_MT-10230,NLA22_MT-10077,6/23/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,6,2749.66,6,1
1/10/2025,2021648,NLA_ND-10154,NLA22_ND-10013,8/30/2022,1,ND,PHYX,3995,COCCONEIS,DIATOM,1,13963.14,51,1
1/10/2025,2020976,NLA_CO-10105,NLA22_CO-10043,7/22/2022,1,CO,PHYX,3995,COCCONEIS,DIATOM,7,28713.67,41,1
1/10/2025,2020726,NLA_OK-10231,NLA22_OK-10099,7/6/2022,1,OK,PHYX,3995,COCCONEIS,DIATOM,3,3803.24,9,1
1/10/2025,2021602,NLA_MN-10184,NLA22_MN-10068,8/25/2022,1,MN,PHYX,3995,COCCONEIS,DIATOM,1,41464.15,46,1
1/10/2025,2020683,NLA_MO-10062,NLA22_MO-10002,6/29/2022,1,MO,PHYX,3995,COCCONEIS,DIATOM,10,32289.54,59,1
1/10/2025,2020974,NLA_SD-10346,NLA22_SD-10160,7/21/2022,1,SD,PHYX,3995,COCCONEIS,DIATOM,3,22508.09,28,1
1/10/2025,2020609,NLA_IN-10165,NLA22_IN-10027,7/8/2022,1,IN,PHYX,3995,COCCONEIS,DIATOM,5,1267.3,7,1
1/10/2025,2020705,NLA_MT-10184,NLA22_MT-10008,7/1/2022,1,MT,PHYX,3995,COCCONEIS,DIATOM,23,94344.91,136,1
1/10/2025,2021141,NLA_OR-10279,NLA22_OR-10012,8/3/2022,1,OR,PHYX,3995,COCCONEIS,DIATOM,1,587.17,3,1
1/10/2025,2020672,NLA_TX-10272,NLA22_TX-10083,6/29/2022,1,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,7,33483.06,284,1
1/10/2025,2021397,NLA_WI-10129,NLA22_WI-10006,8/8/2022,1,WI,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,184.64,6,1
1/10/2025,2020587,NLA_TX-10324,NLA22_TX-10030,6/23/2022,1,TX,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,11562.96,24,1
1/10/2025,2020626,NLA_PA-10080,NLA22_PA-10012,6/28/2022,1,PA,PHYX,4008,ACHNANTHIDIUM,DIATOM,1,177.72,2,1
1/10/2025,2021059,NLA_GA-10075,NLA22_GA-10044,7/28/2022,1,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,7,5042.15,80,1
1/10/2025,2020827,NLA_VT-10046,NLA22_VT-10006,7/14/2022,1,VT,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,61.87,2,1
1/10/2025,2020622,NLA_SD-10233,NLA22_SD-10069,6/27/2022,1,SD,PHYX,4008,ACHNANTHIDIUM,DIATOM,2,242.69,6,1
1/10/2025,2020828,NLA_GA-10051,NLA22_GA-10003,7/14/2022,2,GA,PHYX,4008,ACHNANTHIDIUM,DIATOM,7,3872.18,23,1
1/10/2025,2021745,NLA_IN-10302,NLA22_IN-10156,9/14/2022,1,IN,PHYX,4008,ACHNANTHIDIUM,DIATOM,3,907.01,34,1
1/10/2025,2021070,NLA_MT-10308,NLA22_MT-10130,7/27/2022,1,MT,PHYX,4008,ACHNANTHIDIUM,DIATOM,15,1907.73,45,1
