PUBLICATION_DATE,TAXA_ID,ALGAL_GROUP,TARGET_TAXON,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES_EPITHET,SPECIES_NAME
1/13/2025,3992,DIATOM,ACHNANTHES,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHACEAE,ACHNANTHES,,
1/13/2025,3993,DIATOM,COCCONEIS PEDICULUS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,COCCONEIDACEAE,COCCONEIS,PEDICULUS,COCCONEIS PEDICULUS
1/13/2025,3994,DIATOM,COCCONEIS PLACENTULA,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,COCCONEIDACEAE,COCCONEIS,PLACENTULA,COCCONEIS PLACENTULA
1/13/2025,3995,DIATOM,COCCONEIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,COCCONEIDACEAE,COCCONEIS,,
1/13/2025,3996,DIATOM,PLANOTHIDIUM LANCEOLATUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,PLANOTHIDIUM,LANCEOLATUM,PLANOTHIDIUM LANCEOLATUM
1/13/2025,3997,DIATOM,PLANOTHIDIUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,PLANOTHIDIUM,,
1/13/2025,3998,DIATOM,PSAMMOTHIDIUM CURTISSIMUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,PSAMMOTHIDIUM,CURTISSIMUM,PSAMMOTHIDIUM CURTISSIMUM
1/13/2025,3999,DIATOM,PSAMMOTHIDIUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,PSAMMOTHIDIUM,,
1/13/2025,4000,DIATOM,ACHNANTHIDIUM CATENATUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,CATENATUM,ACHNANTHIDIUM CATENATUM
1/13/2025,4001,DIATOM,ACHNANTHIDIUM DUTHIEI,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,DUTHIEI,ACHNANTHIDIUM DUTHIEI
1/13/2025,4002,DIATOM,ACHNANTHIDIUM EXIGUUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,EXIGUUM,ACHNANTHIDIUM EXIGUUM
1/13/2025,4003,DIATOM,ACHNANTHIDIUM EXILIS,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,EXILIS,ACHNANTHIDIUM EXILIS
1/13/2025,4004,DIATOM,ACHNANTHIDIUM GRACILLIMUM,HETEROKONTOPHYTA,BACILLARIOPHYCEAE,ACHNANTHALES,ACHNANTHIDIACEAE,ACHNANTHIDIUM,GRACILLIMUM,ACHNANTHIDIUM GRACILLIMUM
