PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAB,SAMPLE_TYPE,SAMPLE_ID,NOT_COLLECTED,MATRIX,BATCH_ID,ANALYTE,RESULT,RESULT_UNITS,MDL,RL,QA_FLAG,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,LAB_SAMPLE_ID,LAB_COMMENT
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,GreenWater,MICZ,199164,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,1-199164,
8/13/2024,2020238,NLA_AZ-10100,NLA22_AZ-10009,1,5/9/2022,AZ,GreenWater,MICZ,199164,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,1-199164,
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,GreenWater,MICZ,199264,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,2-199264,
8/13/2024,2020241,NLA_AZ-10117,NLA22_AZ-10026,1,5/11/2022,AZ,GreenWater,MICZ,199264,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,2-199264,
8/13/2024,2020242,NLA_CA-10026,NES22-10186,1,5/15/2022,CA,GreenWater,MICZ,216064,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,3-216064,
8/13/2024,2020242,NLA_CA-10026,NES22-10186,1,5/15/2022,CA,GreenWater,MICZ,216064,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,3-216064,
8/13/2024,2020243,NLA_AZ-10122,NLA22_AZ-10032,1,5/16/2022,AZ,GreenWater,MICZ,199344,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,4-199344,
8/13/2024,2020243,NLA_AZ-10122,NLA22_AZ-10032,1,5/16/2022,AZ,GreenWater,MICZ,199344,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,4-199344,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,GreenWater,MICZ,199304,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,5-199304,
8/13/2024,2020244,NLA_AZ-10185,NLA22_AZ-10008,1,5/17/2022,AZ,GreenWater,MICZ,199304,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,5-199304,
